"text","transcription",lang,text2,transcription2,lang2,"translation","category","partOfSpeech"
"become (became, become)","[bɪˈkʌm]",,,,,"становиться","Этапы действия, часть и целое","Глаголы"
"begin (began, begun)","[bɪˈgɪn]",,,,,"начинать","Этапы действия, часть и целое","Глаголы"
"start","[stɑːt]",,,,,"начинать","Этапы действия, часть и целое","Глаголы"
"continue","[kənˈtɪnju(ː)]",,,,,"продолжать","Этапы действия, часть и целое","Глаголы"
"go on","[gəʊ ɒn]",,,,,"продолжать","Этапы действия, часть и целое","Глаголы"
"stop","[stɒp]",,,,,"останавливать","Этапы действия, часть и целое","Глаголы"
"end","[ɛnd]",,,,,"заканчивать","Этапы действия, часть и целое","Глаголы"
"finish","[ˈfɪnɪʃ]",,,,,"заканчивать","Этапы действия, часть и целое","Глаголы"
"last","[lɑːst]",,,,,"длиться","Этапы действия, часть и целое","Глаголы"
"accomplish","[əˈkɒmplɪʃ]",,,,,"завершать","Этапы действия, часть и целое","Глаголы"
"prepare","[prɪˈpeə]",,,,,"подготавливать","Этапы действия, часть и целое","Глаголы"
"postpone","[pɛʊstˈpəʊn]",,,,,"откладывать","Этапы действия, часть и целое","Глаголы"
"put off","[pʊt ɒf]",,,,,"откладывать","Этапы действия, часть и целое","Глаголы"
"divide","[dɪˈvaɪd]",,,,,"разделять","Этапы действия, часть и целое","Глаголы"
"consist of","[kənˈsɪst ɒv]",,,,,"состоять из","Этапы действия, часть и целое","Глаголы"
"include","[ɪnˈkluːd]",,,,,"включать (в себя что-то)","Этапы действия, часть и целое","Глаголы"
"exclude","[ɪksˈkluːd]",,,,,"исключать","Этапы действия, часть и целое","Глаголы"
"incorporate","[ɪnˈkɔːpəreɪt]",,,,,"включать","Этапы действия, часть и целое","Глаголы"
"split (split, split)","[splɪt]",,,,,"разделять","Этапы действия, часть и целое","Глаголы"
"contain","[kənˈteɪn]",,,,,"содержать","Этапы действия, часть и целое","Глаголы"
"separate","[ˈsɛpəreɪt]",,,,,"отделять","Этапы действия, часть и целое","Глаголы"
"assemble","[əˈsɛmbl]",,,,,"собирать","Этапы действия, часть и целое","Глаголы"
"go (went, gone)","[gəʊ]",,,,,"идти","Движение","Глаголы"
"come (came, come)","[kʌm]",,,,,"приходить","Движение","Глаголы"
"turn","[tɜːn]",,,,,"поворачивать","Движение","Глаголы"
"run (ran, run)","[rʌn]",,,,,"бежать","Движение","Глаголы"
"move","[muːv]",,,,,"двигать","Движение","Глаголы"
"bring (brought, brought)","[brɪŋ]",,,,,"приносить","Движение","Глаголы"
"sit (sat, sat)","[sɪt]",,,,,"сидеть","Движение","Глаголы"
"stand","[stænd]",,,,,"стоять","Движение","Глаголы"
"follow","[ˈfɒləʊ]",,,,,"следовать","Движение","Глаголы"
"stop","[stɒp]",,,,,"останавливать","Движение","Глаголы"
"walk","[wɔːk]",,,,,"ходить","Движение","Глаголы"
"appear","[əˈpɪə]",,,,,"появляться","Движение","Глаголы"
"dissapear","[dˈɪsəpər]",,,,,"исчезать","Движение","Глаголы"
"remain","[rɪˈmeɪn]",,,,,"оставаться","Движение","Глаголы"
"leave (left, left)","[liːv]",,,,,"уходить","Движение","Глаголы"
"raise","[reɪz]",,,,,"поднимать","Движение","Глаголы"
"carry","[ˈkæri]",,,,,"нести","Движение","Глаголы"
"drive (drove, driven)","[draɪv]",,,,,"вести машину","Движение","Глаголы"
"throw (threw, trown)","[θrəʊ]",,,,,"бросать","Движение","Глаголы"
"push","[pʊʃ]",,,,,"толкать","Движение","Глаголы"
"lay (laid, laid)","[leɪ]",,,,,"класть","Движение","Глаголы"
"lie (lay, lain)","[laɪ]",,,,,"лежать","Движение","Глаголы"
"arrive","[əˈraɪv]",,,,,"прибывать","Движение","Глаголы"
"shake (shook, shaken)","[ʃeɪk]",,,,,"трясти","Движение","Глаголы"
"fly (flew, flown)","[flaɪ]",,,,,"летать","Движение","Глаголы"
"stay","[steɪ]",,,,,"оставаться","Движение","Глаголы"
"fall (fell, fallen)","[fɔːl]",,,,,"падать","Движение","Глаголы"
"wear (wore, worn)","[weə]",,,,,"носить (напр. одежду)","Движение","Глаголы"
"step","[stɛp]",,,,,"шагнуть","Движение","Глаголы"
"roll","[rəʊl]",,,,,"катиться","Движение","Глаголы"
"ride (rode, ridden)","[raɪd]",,,,,"ехать","Движение","Глаголы"
"lift","[lɪft]",,,,,"поднимать","Движение","Глаголы"
"jump","[ʤʌmp]",,,,,"прыгать","Движение","Глаголы"
"approach","[əˈprəʊʧ]",,,,,"приближаться","Движение","Глаголы"
"cross","[krɒs]",,,,,"пересекать","Движение","Глаголы"
"climb","[klaɪm]",,,,,"лезть","Движение","Глаголы"
"bear (bore, born)","[beə]",,,,,"нести","Движение","Глаголы"
"shift","[ʃɪft]",,,,,"сдвигать","Движение","Глаголы"
"slip","[slɪp]",,,,,"поскальзываться","Движение","Глаголы"
"rush","[rʌʃ]",,,,,"торопиться","Движение","Глаголы"
"land","[lænd]",,,,,"приземляться","Движение","Глаголы"
"escape","[ɪsˈkeɪp]",,,,,"сбегать","Движение","Глаголы"
"drag","[dræg]",,,,,"тащить","Движение","Глаголы"
"slide (slid, slid)","[slaɪd]",,,,,"скользить","Движение","Глаголы"
"toss","[tɒs]",,,,,"метать","Движение","Глаголы"
"accompany","[əˈkʌmpəni]",,,,,"сопровождать","Движение","Глаголы"
"swing (swang, swung)","[swɪŋ]",,,,,"раскачивать","Движение","Глаголы"
"advance","[ədˈvɑːns]",,,,,"продвигаться","Движение","Глаголы"
"swim (swam, swum)","[swɪm]",,,,,"плыть","Движение","Глаголы"
"flee","[fliː]",,,,,"убегать","Движение","Глаголы"
"sink (sank, sunk)","[sɪŋk]",,,,,"тонуть","Движение","Глаголы"
"be (was, been)","[biː]",,,,,"быть","Наличие/отсутствие, принадлежность","Глаголы"
