"text","transcription",lang,text2,transcription2,lang2,"translation","category","partOfSpeech"
"a bunch of","[ə bʌnʧ ɒv] ",,,,,"куча чего-то","Дом, быт","Существительные"
"a lot","[ə lɒt]",,,,,"много","Количества","Наречия"
"abandon","[əˈbændən]",,,,,"покидать","Наличие/отсутствие, принадлежность","Глаголы"
"ability","[əˈbɪlɪti]",,,,,"способность","Человек: личность","Существительные"
"able","[ˈeɪbl]",,,,,"способный","Человек","Прилагательные"
"abortion","[əˈbɔːʃ(ə)n]",,,,,"аборт","Медицина","Существительные"
"about","[əˈbaʊt]",tell me about yourself,,,,"о (расскажите мне о себе)","Разные предлоги","Предлоги"
"above","[əˈbʌv]",above the table,,,,"над (над столом)","Предлоги места","Предлоги"
"absence","[ˈæbsəns]",,,,,"отсутствие","Физические явления, характеристики","Существительные"
"absence","[ˈæbsəns]",,,,,"отсутствие","Пространство","Существительные"
"absolutely","[ˈæbsəluːtli]",,,,,"абсолютно","Образа действия","Наречия"
"abuse","[əˈbjuːs]",,,,,"плохое отношение, причинение вреда","Общение","Существительные"
"academic","[ˌækəˈdɛmɪk]",,,,,"академический","Наука, искусство","Прилагательные"
"accept","[əkˈsɛpt]",,,,,"принимать","Общение","Глаголы"
"access","[ˈæksɛs]",,,,,"доступ","Пространство","Существительные"
"accident","[ˈæksɪdənt]",,,,,"авария","Транспорт","Существительные"
"accompany","[əˈkʌmpəni]",,,,,"сопровождать","Движение","Глаголы"
"accomplish","[əˈkɒmplɪʃ]",,,,,"завершать","Этапы действия, часть и целое","Глаголы"
"according to","[əˈkɔːdɪŋ tʊ]",according to the rules,,,,"в соответствии с (в соответствии с правилами)","Разные предлоги","Предлоги"
"account","[əˈkaʊnt]",,,,,"вести учет","Экономика, бизнес","Глаголы"
"account","[əˈkaʊnt]",,,,,"счет (в банке)","Экономика, бизнес","Существительные"
"accurate","[ˈækjʊrɪt]",,,,,"точный","Физические качества","Прилагательные"
"accuse","[əˈkjuːz]",,,,,"обвинять","Общение","Глаголы"
"accuse","[əˈkjuːz]",,,,,"обвинять","Закон","Глаголы"
"achieve","[əˈʧiːv]",,,,,"достигать","Работа, сотрудничество","Глаголы"
"achievement","[əˈʧiːvmənt]",,,,,"достижение","Работа, карьера","Существительные"
"acknowledge","[əkˈnɒlɪʤ]",,,,,"признавать","Чувства, мышление, восприятие","Глаголы"
"acquire","[əˈkwaɪə]",,,,,"получать","Наличие/отсутствие, принадлежность","Глаголы"
"across","[əˈkrɒs]",go across the river,,,,"через (иди через реку)","Предлоги направления","Предлоги"
"act","[ækt]",,,,,"действовать","Физические действия (человека)","Глаголы"
"act","[ækt]",,,,,"акт","Государство и общество","Существительные"
"action","[ˈækʃ(ə)n]",,,,,"действие","Работа, карьера","Существительные"
"active","[ˈæktɪv]",,,,,"активный","Человек","Прилагательные"
"activist","[ˈæktɪvɪst]",,,,,"активист","Государство и общество","Существительные"
"activity","[ækˈtɪvɪti]",,,,,"деятельность","Работа, карьера","Существительные"
"actor","[ˈæktə]",,,,,"актер","Кино, театр, музыка","Существительные"
"actual","[ˈækʧʊəl]",,,,,"актуальный (настоящий)","Важность, вероятность","Прилагательные"
"actually","[ˈækʧʊəli]",,,,,"на самом деле (вообще-то)","Вводные и соединительные слова","Наречия"
"adapt","[əˈdæpt]",,,,,"адаптировать","Человек","Глаголы"
"add","[æd]",,,,,"добавлять","Наличие/отсутствие, принадлежность","Глаголы"
"addition","[əˈdɪʃ(ə)n]",,,,,"сложение","Математика","Существительные"
"additional","[əˈdɪʃənl]",,,,,"дополнительный","Государство и общество","Прилагательные"
"address","[əˈdrɛs]",,,,,"обращаться","Общение","Глаголы"
"address","[əˈdrɛs]",,,,,"адрес","Город","Существительные"
"adjust","[əˈʤʌst]",,,,,"настраивать","Работа, сотрудничество","Глаголы"
"administration","[ədˌmɪnɪsˈtreɪʃ(ə)n]",,,,,"администрация","Государство и общество","Существительные"
"administrator","[ədˈmɪnɪstreɪtə]",,,,,"администратор","Профессии, должности","Существительные"
"admit","[ədˈmɪt]",,,,,"признать","Общение","Глаголы"
"adopt","[əˈdɒpt]",,,,,"усыновлять","Человек","Глаголы"
"adult","[ˈædʌlt]",,,,,"взрослый","Человек: жизнь","Существительные"
"advance","[ədˈvɑːns]",,,,,"продвигаться","Движение","Глаголы"
"advance","[ədˈvɑːns]",,,,,"продвижение","Пространство","Существительные"
"advanced","[ədˈvɑːnst]",,,,,"продвинутый (расширенный)","Человек","Прилагательные"
"advantage","[ədˈvɑːntɪʤ]",,,,,"преимущество","Работа, карьера","Существительные"
"adventure","[ədˈvɛnʧə]",,,,,"приключение","Литература","Существительные"
"advertisement","[ədˈvɜːtɪsmənt]",,AD,[æd],,"реклама (объявление)","Экономика, бизнес","Существительные"
"advice","[ədˈvaɪs]",,,,,"советы, совет","Общение","Существительные"
"advise","[ədˈvaɪz]",,,,,"советовать","Общение","Глаголы"
"adviser","[ədˈvaɪzə]",,,,,"советник","Профессии, должности","Существительные"
"advocate","[ˈædvəkɪt]",,,,,"адвокат","Закон","Существительные"
"affair","[əˈfeə]",,,,,"любовная связь (роман)","Взаимоотношения","Существительные"
"affect","[əˈfɛkt]",,,,,"влиять","Общение","Глаголы"
"afford","[əˈfɔːd]",,,,,"повзволять себе","Экономика, бизнес","Глаголы"
"afraid","[əˈfreɪd]",,,,,"испуганный","Человек","Прилагательные"
"after","[ˈɑːftə]",Don't call me after 9PM,,,,"после (не звони мне после 9 вечера)","Предлоги времени","Предлоги"
"after","[ˈɑːftə]",They weren’t much happy after their divorce,,,,"после","","Союзы"
"afternoon","[ˈɑːftəˈnuːn]",,,,,"день (время суток)","Время","Существительные"
"again","[əˈgɛn]",,,,,"снова","Наречия времени","Наречия"
"against","[əˈgɛnst]",against war,,,,"против (против войны)","Разные предлоги","Предлоги"
"age","[eɪʤ]",,,,,"возраст","Человек: личность","Существительные"
"agency","[ˈeɪʤənsi]",,,,,"агентство","Экономика, бизнес","Существительные"
"agenda","[əˈʤɛndə]",,,,,"повестка дня","Работа, карьера","Существительные"
"agent","[ˈeɪʤənt]",,,,,"агент","Профессии, должности","Существительные"
"aggressive","[əˈgrɛsɪv]",,,,,"агрессивный","Человек","Прилагательные"
"ago","[əˈgəʊ]",one year ago,,,,"(один год) назад","Наречия времени","Наречия"
"agree","[əˈgriː]",,,,,"соглашаться","Общение","Глаголы"
"agreement","[əˈgriːmənt]",,,,,"соглашение","Экономика, бизнес","Существительные"
"ahead","[əˈhɛd]",,go ahed,,,"вперед","Места","Наречия"
"aid","[eɪd]",,first aid,,,"помощь (напр. первая помощь)","Медицина","Существительные"
"aim","[eɪm]",,,,,"целиться","Борьба","Глаголы"
"air","[eə]",,,,,"воздух","Мир, природа","Существительные"
"aircraft","[ˈeəkrɑːft]",,,,,"самолет, воздушное судно","Транспорт","Существительные"
"airline","[ˈeəlaɪn]",,,,,"авиакомпания","Транспорт","Существительные"
"airport","[ˈeəpɔːt]",,,,,"аэропорт","Город","Существительные"
"album","[ˈælbəm]",,,,,"альбом","Дом, быт","Существительные"
"alcohol","[ˈælkəhɒl]",,,,,"алкоголь","Еда","Существительные"
"alive","[əˈlaɪv]",,,,,"живой","Человек","Прилагательные"
"all","[ɔːl]",,,,,"все","Количества","Наречия"
"allow","[əˈlaʊ]",,,,,"позволять","Общение","Глаголы"
"ally","[ˈælaɪ]",,,,,"союзник","Армия","Существительные"
"almost","[ˈɔːlməʊst]",,,,,"почти","Меры, степени","Наречия"
"alone","[əˈləʊn]",,,,,"одинокий","Человек","Прилагательные"
"alone","[əˈləʊn]",,,,,"в одиночку","Количества","Наречия"
"along","[əˈlɒŋ]",,,,,"вдоль","Места","Наречия"
"along","[əˈlɒŋ]",along the wall,,,,"вдоль (вдоль стены)","Предлоги направления","Предлоги"
"already","[ɔːlˈrɛdi]",,,,,"уже","Наречия времени","Наречия"
"also","[ˈɔːlsəʊ]",,,,,"также","Количества","Наречия"
