"text","transcription","lang","text2","transcription2","lang2","translation","category","partOfSpeech"
"above","[əˈbʌv]","","","","","над","Наречия места","Наречия"
"adult","[əˈdʌlt]","","","","","взрослый","Качества, характер человека","Прилагательные"
"after","[ˈɑːftə]","","","","","после","Наречия времени","Наречия"
"again","[əˈgɛn]","","","","","снова","Наречия времени","Наречия"
"age","[eɪʤ]","","","","","возраст","Единицы времени, слова на тему ""Время""","Существительные"
"air","[eə]","","","","","воздух","Природа","Существительные"
"air conditioner","[eə kənˈdɪʃənə]","","AC","[eɪ-siː]","","кондиционер","Дом, одежда, предметы быта","Существительные"
"airport","[ˈeəpɔːt]","","","","","аэропорт","Город","Существительные"
"alcohol","[ˈælkəhɒl]","","","","","алкоголь","Еда и напитки","Существительные"
"almost","[ˈɔːlməʊst]","","","","","почти","Наречия меры и степени","Наречия"
"already","[ɔːlˈrɛdi]","","","","","уже","Наречия времени","Наречия"
"always","[ˈɔːlweɪz]","","","","","всегда","Наречия времени","Наречия"
"ambassador","[æmˈbæsədə]","","","","","посол","Город","Существительные"
"angry","[ˈæŋgri]","","","","","сердитый","Качества, характер человека","Прилагательные"
"answer","[ˈɑːnsə]","","","","","отвечать","Глаголы речи, общения","Глаголы"
"anywhere","[ˈɛnɪweə]","","","","","где-нибудь","Наречия места","Наречия"
"apartment","[əpˈɑːtmənt]","US","flat","[flæt]","UK","квартира","Дом, одежда, предметы быта","Существительные"
"April","[ˈeɪprəl]","","","","","апрель","Месяцы, времена года, дни недели","Существительные"
"armchair","[ˈɑːmˈʧeə]","","","","","кресло","Дом, одежда, предметы быта","Существительные"
"around","[əˈraʊnd]","","","","","вокруг","Наречия места","Наречия"
"ask","[ɑːsk]","","","","","спрашивать","Глаголы речи, общения","Глаголы"
"ATM","[eɪ-tiː-ɛm]","","automated teller machine","[ˈɔːtəmeɪtɪd ˈtɛlə məˈʃiːn]","","банкомат","Работа и деньги","Существительные"
"August","[ˈɔːgəst]","","","","","август","Месяцы, времена года, дни недели","Существительные"
